ID,sku,post_status,post_title,post_content,post_excerpt,category,tags,stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,stock_status,visibility,backorders,featured,manage_stock,featured_image,product_gallery,shipping_class,comment_status,ping_status,menu_order
,SV40G,publish,Держатель Unger с липучкой,"«Особенности: • Длина: 50 см,Ширина: 9 см                                             
•  Маневренный флаундер для мойки полов.Удобное крепление при помощи липучки позволяет просто и быстро осуществлять замену мопа.                                                  
• Обладает высокой износостойкостью.
»","«Поверхности:
• Предназначен для уборки паркета, линолеума и ламината.»",Инвентарь для уборки->Швабры->Держатели,Brand-Unger,,2513,,,,,,none,,instock,,yes,no,no,,,,close,open,
,,,,,,Инвентарь для уборки->Инвентарь для различных поверхностей ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Протирочный материал->Салфетки ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Протирочный материал->Губки ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Диспенсеры и расходные материалы->TORK,,,,,,,,,,,,,,,,,,,,,
,,,,,,Диспенсеры и расходные материалы->Lime,,,,,,,,,,,,,,,,,,,,,
,ba0001,publish,Прибор для ароматизации Aroma Wind 002,"«Профессиональный ароматизатор AROMA WIND 002 для ароматизации помещений до 150 кв. м. 
Этот прибор делает ароматизацию простой и доступной услугой!»",,Бизнес ароматизация->Жидкостная ароматизация (до 150 кв.м.),,,28000,,,,,,none,,instock,,yes,no,no,,http:/cleanhouse.in.holmax.ru/images/goods/aromatizaciya/aromawind002/01.jpg,,close,open,
,ba0002,publish,Ароматизатор AROMA WIND 003,"«Профессиональное оборудование для ароматизации больших помещений - торговых залов гипермаркетов, холлов торговых центров, магазинов, презентаций, семинаров, конференций, показов, праздников, юбилеев, корпоративов, проходящих в помещениях площадью от 400 кв. м. до 500 кв. м.»",,Бизнес ароматизация->Жидкостная ароматизация (400-500 кв.м.),,,38000,,,,,,none,,instock,,yes,no,no,,http:/cleanhouse.in.holmax.ru/images/goods/aromatizaciya/aromawind003/01.jpg|http:/cleanhouse.in.holmax.ru/images/goods/aromatizaciya/aromawind003/02.jpg,,close,open,
,ba0003,publish,"BERBERRIES, аромат для ароматизатора, 500 мл","«Состав аромата: лимон, жасмин, мускус, сандал  Категория: свежесть  Интенсивность аромата: легкий  Рекомендуемые помещения: магазины мужской одежды  Аромат создан по мотивам одноименного мужского парфюма.  Освежители с ароматом сандалового дерева, кедра и специй создают неповторимую ауру респектабельности и власти. »",,Бизнес ароматизация->Жидкостные ароматы,,,6500,,,,,,none,,instock,,yes,no,no,,http:/cleanhouse.in.holmax.ru/images/goods/aromatizaciya/berberis/01.jpg,,close,open,
,ba0004,publish,"АПЕЛЬСИН С КОРИЦЕЙ, аромат для ароматизатора, 500 мл","«Состав аромата: апельсин, корица  Категория: специальные выпуски  Интенсивность аромата: средний  Рекомендуемые помещения: зоны ресепшн, зона входа кафе и ресторана, магазины одежды, тематические новогодние изделия, магазины подарков  Сладкий и одновременно свежий цитрусовый аромат сочетается с сильным и согревающим ароматом корицы. Теплый, веселый запах поднимет настроение. Поможет создать атмосферу праздника. »",,Бизнес ароматизация->Жидкостные ароматы,,,6500,,,,,,none,,instock,,yes,no,no,,http:/cleanhouse.in.holmax.ru/images/goods/aromatizaciya/apelsin/01.jpg,,close,open,
,,,,,,Нейтрализация неприятных запахов,,,,,,,,,,,,,,,,,,,,,
,,,,,,Урны и пепельницы->Для помещений ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Урны и пепельницы->Для улицы ,,,,,,,,,,,,,,,,,,,,,
,L330,publish,iRobot Looj,,,Роботы-пылесосы ,brand-looj,,25768,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/roboty-pylesosy/L330/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/roboty-pylesosy/L330/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/roboty-pylesosy/L330/03.jpg,,close,open,
